member_id,account_age_days,kyc_completeness,avg_contribution,contribution_count,contribution_consistency,num_payment_methods,device_changes_30d,failed_login_attempts_30d,withdrawal_to_deposit_ratio,referral_count,days_since_last_activity,velocity_score,is_high_risk
1,179,0.5,41159.48,9,0.711,2,0,1,0.039,1,340,0.824,0
2,1548,1.0,36422.65,7,0.809,2,1,0,0.0,1,171,0.123,0
3,1309,1.0,33339.47,8,0.64,2,1,0,0.237,2,69,0.352,0
4,878,1.0,14834.38,10,1.0,1,0,0,0.0,0,62,0.291,0
5,866,0.75,74624.66,9,0.558,2,0,0,0.849,1,345,0.47,0
6,1717,0.5,104419.98,9,1.0,3,0,0,0.0,2,318,0.744,0
7,172,1.0,28692.86,7,0.502,1,0,0,0.108,0,206,0.418,0
8,1395,1.0,90717.78,11,0.697,2,1,0,0.843,3,388,0.252,0
9,403,1.0,185121.85,11,0.812,3,0,0,0.57,0,285,0.652,0
10,189,1.0,143285.22,14,0.563,3,0,0,0.0,2,318,0.334,0
11,1053,1.0,101373.15,13,0.55,3,1,0,0.303,1,142,0.358,0
12,1951,1.0,16603.58,9,0.694,2,0,1,0.359,0,284,0.546,0
13,1471,0.75,16428.91,6,0.929,1,0,0,0.053,2,310,0.066,0
14,1522,0.5,67117.2,13,0.766,2,0,1,0.453,0,358,0.05,0
15,1435,0.75,43379.74,12,1.0,3,0,0,0.0,2,88,0.146,1
16,1572,1.0,5873.04,14,0.863,2,0,0,0.0,4,285,0.326,0
17,1026,0.75,31384.74,5,0.659,3,0,0,0.536,0,162,0.656,1
18,257,0.75,65082.31,8,0.211,1,0,2,0.441,2,387,0.23,0
19,1679,1.0,38373.21,10,0.44,3,0,0,0.759,0,387,0.269,0
20,901,0.75,43537.78,8,0.697,1,0,0,0.271,2,187,0.443,0
21,1001,0.75,16406.68,13,0.437,2,1,0,0.688,0,165,0.165,1
22,742,1.0,31067.22,5,0.711,1,0,0,0.158,2,293,0.28,0
23,365,1.0,67313.33,10,0.795,1,0,0,0.585,0,168,0.389,0
24,1853,1.0,29878.9,8,0.691,3,0,0,0.764,2,232,0.541,0
25,1563,1.0,95614.19,8,0.696,1,0,0,0.069,1,224,0.635,0
26,1288,0.75,44272.1,13,1.0,3,0,0,0.0,1,54,0.36,0
27,805,1.0,58462.13,14,0.763,3,0,2,0.353,0,199,0.326,0
28,1645,1.0,66269.01,8,0.722,1,0,0,0.347,0,100,0.346,0
29,1091,1.0,64455.08,10,0.551,2,0,2,0.258,0,3,0.451,0
30,887,1.0,19304.26,10,0.749,1,1,0,0.54,0,148,0.767,0
31,901,1.0,22355.87,9,0.654,1,1,0,0.017,1,107,0.944,0
32,455,1.0,5744.71,6,1.0,3,0,0,0.267,3,96,0.862,0
33,185,1.0,33923.61,9,0.864,2,0,0,0.104,2,225,0.666,0
34,1109,0.5,20954.35,12,1.0,2,0,0,0.705,0,34,0.144,0
35,1775,1.0,29174.61,13,0.792,3,1,0,0.491,2,115,0.454,0
36,128,1.0,36664.88,11,0.999,1,1,0,0.121,0,0,0.309,0
37,1716,1.0,48575.51,11,0.55,1,0,0,0.309,3,344,0.366,0
38,1655,1.0,38808.64,9,0.8,1,1,1,0.255,0,156,0.835,0
39,554,0.5,38273.59,7,0.576,3,1,0,0.0,1,56,0.732,0
40,1263,1.0,55250.24,5,0.662,1,0,1,0.695,0,64,0.612,1
41,331,1.0,42142.97,5,0.758,2,1,0,0.191,0,228,1.0,0
42,1516,1.0,78359.8,11,0.559,1,1,0,1.07,3,393,0.607,1
43,1401,0.75,42242.21,4,0.458,2,0,1,0.307,3,86,0.772,0
44,709,0.75,114202.62,11,0.947,3,1,0,0.611,0,191,0.539,0
45,136,1.0,18636.08,8,0.414,1,2,1,0.306,1,344,0.45,0
46,1941,1.0,33459.4,9,1.0,1,1,1,0.376,0,336,0.908,0
47,891,1.0,25551.19,12,0.587,1,0,1,0.195,1,103,0.204,0
48,1786,0.75,49936.07,7,0.863,3,2,0,0.0,1,195,0.0,0
49,1356,0.75,18625.52,8,0.875,3,1,0,0.717,1,389,0.16,0
50,1556,0.75,11912.25,10,0.529,3,0,0,0.146,1,182,0.286,0
51,1520,1.0,21796.48,9,0.842,3,0,0,0.666,0,25,0.629,0
52,390,1.0,12740.62,10,0.784,1,0,0,0.822,1,290,0.715,0
53,728,1.0,37033.39,4,0.876,3,0,0,0.135,0,252,0.204,0
54,933,1.0,48474.97,8,0.992,3,0,0,0.088,3,357,0.248,0
55,996,0.75,10249.14,8,0.913,3,1,0,0.154,0,349,0.29,0
56,88,1.0,31874.29,11,0.576,3,0,1,0.0,1,123,0.412,0
57,1093,0.5,85482.57,10,0.723,2,0,0,0.386,2,399,0.401,0
58,309,0.75,102259.39,3,0.585,3,0,1,0.623,2,139,0.492,1
59,1487,1.0,70991.01,6,0.635,2,0,0,0.063,0,106,0.164,0
60,1366,0.5,3441.58,7,0.848,1,1,0,0.417,4,319,0.132,0
61,1845,1.0,45365.98,8,0.871,3,1,0,0.243,2,224,0.183,0
62,1489,1.0,92179.53,8,0.866,3,0,0,0.245,1,90,0.411,0
63,733,1.0,29421.62,9,0.808,3,0,0,0.295,2,53,0.095,0
64,1935,1.0,15069.08,9,0.838,2,0,0,0.383,1,392,0.175,0
65,822,1.0,87630.2,10,0.659,3,0,0,0.14,2,284,0.528,0
66,652,1.0,96286.63,6,1.0,2,1,1,0.303,0,306,0.767,0
67,1811,0.5,41916.92,9,0.884,2,0,1,0.149,2,113,0.497,0
68,741,0.5,15197.73,11,0.746,2,0,0,0.332,1,154,0.128,0
69,153,1.0,8987.71,7,0.975,2,1,0,0.07,1,5,0.573,0
70,939,1.0,53573.64,11,0.647,3,0,0,0.527,1,54,0.257,0
71,1591,0.5,25727.02,10,0.774,1,0,0,0.212,1,152,0.751,0
72,379,1.0,39996.8,13,0.929,1,1,0,0.0,2,293,0.508,0
73,926,1.0,36884.01,10,0.506,2,1,0,0.246,0,43,0.188,0
74,260,1.0,20830.3,6,1.0,2,1,1,0.281,0,170,0.43,0
75,1373,1.0,8490.99,12,0.632,1,0,0,0.177,1,326,0.05,0
76,951,1.0,30038.11,13,0.659,3,1,0,0.0,1,253,0.443,0
77,661,1.0,46661.56,8,0.754,3,2,0,0.267,1,164,0.334,1
78,454,1.0,48250.56,9,0.898,2,2,0,0.34,1,47,0.925,0
79,1129,0.75,24407.58,13,0.917,2,0,0,0.405,2,62,0.452,0
80,1339,1.0,94993.27,11,1.0,3,0,3,0.553,0,22,0.415,0
81,1880,0.5,16603.31,6,0.737,1,0,1,0.425,3,321,0.0,0
82,874,1.0,81016.74,11,0.816,1,0,0,0.382,1,96,0.558,0
83,322,0.5,45589.32,7,0.442,2,0,0,0.442,3,367,0.692,0
84,1665,0.75,30245.64,3,0.536,2,0,0,0.158,0,153,0.694,0
85,1259,0.5,58560.2,6,0.732,1,1,0,0.533,1,118,0.369,0
86,1400,1.0,35242.36,7,0.822,3,0,0,0.281,1,90,0.246,0
87,195,0.75,11765.14,13,0.741,1,1,0,0.252,0,297,0.711,0
88,625,0.75,15539.55,7,0.855,2,0,1,0.0,1,123,0.378,0
89,1535,1.0,33530.16,8,0.739,1,0,0,0.41,1,316,0.391,0
90,1664,1.0,27193.86,11,0.703,1,0,1,0.384,2,326,0.317,0
91,870,1.0,79770.5,9,1.0,1,1,2,0.486,2,6,0.0,0
92,1609,1.0,26203.29,11,0.697,1,2,0,0.0,1,33,0.195,0
93,1683,1.0,24919.57,14,0.952,1,1,0,0.48,1,387,0.425,0
94,775,0.75,22342.96,8,0.489,2,0,0,0.255,1,214,0.55,0
95,1796,0.75,20790.69,6,0.775,2,1,0,0.076,2,268,0.392,0
96,577,1.0,21364.4,10,0.615,1,2,2,0.184,1,155,0.535,1
97,479,0.5,13489.42,11,1.0,1,0,0,0.096,0,188,0.0,0
98,1365,1.0,46987.34,8,0.638,1,0,0,0.382,2,132,0.161,0
99,1273,1.0,37515.86,11,0.744,2,0,0,0.191,3,237,0.976,0
100,280,1.0,36351.79,7,0.585,3,0,0,0.279,1,196,0.577,0
101,1665,1.0,9548.17,5,0.573,1,1,0,0.183,3,350,0.739,0
102,400,1.0,55078.38,9,0.735,3,2,0,0.268,1,376,0.332,0
103,1609,1.0,58974.74,7,0.823,3,1,0,0.016,0,193,0.658,0
104,15,1.0,110612.38,6,0.962,3,1,1,0.0,0,298,0.648,0
105,1593,0.5,56780.11,12,0.634,1,0,0,0.965,2,375,0.939,1
106,1574,0.75,125397.52,4,0.631,2,1,0,0.309,1,257,0.511,1
107,1560,1.0,23940.58,6,1.0,2,0,0,1.038,1,108,0.139,0
108,1330,0.75,114534.21,9,1.0,2,0,2,0.281,1,382,0.209,0
109,943,1.0,58066.39,7,0.733,3,0,0,0.292,1,273,0.476,0
110,1410,1.0,53062.52,6,0.843,2,0,0,0.226,0,145,0.0,0
111,554,1.0,35658.33,13,1.0,2,0,1,0.44,0,394,0.503,0
112,1561,1.0,30151.51,14,1.0,3,1,1,0.324,1,297,0.541,0
113,1111,1.0,25447.1,7,0.834,1,0,1,0.0,3,398,0.77,1
114,918,1.0,117094.9,9,0.901,2,0,0,0.035,2,69,0.0,0
115,1011,0.75,34805.01,15,0.777,3,0,0,0.0,1,80,0.122,0
116,1137,1.0,58794.47,6,0.454,1,1,0,0.325,1,25,0.429,0
117,75,0.75,67915.6,6,0.819,3,0,0,0.337,3,44,0.389,1
118,280,1.0,67257.2,10,1.0,2,0,1,0.325,2,215,0.405,0
119,491,1.0,47142.13,12,0.599,3,0,1,0.118,0,36,0.644,0
120,229,1.0,113148.47,8,0.379,3,0,0,0.0,1,303,0.487,0
121,879,1.0,55615.29,8,0.868,1,1,0,0.581,3,266,0.784,0
122,1337,1.0,24927.17,6,0.399,2,0,0,0.347,3,263,0.701,0
123,1309,0.75,31257.79,11,0.436,2,1,1,0.441,0,189,0.232,0
124,942,1.0,10100.06,10,0.423,3,2,0,0.535,0,148,0.475,0
125,1710,1.0,50863.13,11,0.349,1,0,0,0.0,0,122,0.542,0
126,1130,1.0,62243.03,7,0.961,1,0,0,0.311,0,365,0.876,0
127,159,1.0,65981.07,10,0.778,2,0,0,0.575,0,172,0.458,0
128,1530,0.75,58067.15,5,1.0,3,0,0,0.0,1,141,0.547,0
129,1149,0.75,35751.97,7,0.897,1,0,1,0.013,1,115,0.285,0
130,1269,0.75,40947.11,1,1.0,3,0,0,0.007,2,157,0.538,0
131,1131,0.5,41035.35,8,0.621,1,0,0,0.0,0,90,0.134,0
132,1107,1.0,79959.39,9,0.822,3,1,0,0.439,2,59,0.238,0
133,182,1.0,6513.62,10,0.495,3,0,1,0.342,2,115,0.719,0
134,1118,1.0,28566.39,9,0.695,2,0,0,0.0,2,366,0.617,0
135,1590,1.0,17500.41,9,1.0,3,1,0,0.0,1,50,0.742,0
136,608,1.0,143542.21,13,0.742,3,0,0,0.079,0,34,0.967,0
137,1206,1.0,90683.2,10,0.703,3,1,0,0.561,1,62,0.638,1
138,62,0.75,29525.01,3,0.746,3,1,0,0.0,0,280,0.464,0
139,695,1.0,12201.37,12,0.779,2,0,1,0.0,0,284,0.263,0
140,873,0.75,15580.38,9,0.779,3,1,0,0.249,2,110,0.268,0
141,1965,1.0,79233.61,8,1.0,3,1,0,0.0,0,155,0.407,0
142,429,1.0,9801.41,9,0.606,2,1,0,0.701,3,143,0.388,0
143,553,1.0,41437.94,7,0.709,1,0,0,0.314,1,6,0.619,0
144,817,1.0,70710.16,6,0.77,1,1,0,0.18,0,95,0.182,0
145,1985,0.75,14232.19,9,0.569,1,2,0,0.184,2,308,0.261,0
146,1706,1.0,41111.2,7,0.661,2,2,0,0.125,4,146,0.492,0
147,70,1.0,29911.86,5,0.903,1,0,0,0.15,3,21,0.033,0
148,468,1.0,26918.39,12,0.585,2,0,0,0.878,1,143,0.768,0
149,1643,1.0,23376.6,14,1.0,1,0,0,0.514,1,350,0.617,0
150,117,1.0,74707.25,11,1.0,3,0,0,0.219,0,321,0.453,0
151,1711,1.0,103560.93,14,0.785,2,0,0,0.327,1,333,0.146,0
152,563,1.0,33641.19,15,0.865,3,0,1,0.085,1,381,0.366,0
153,1835,1.0,53224.72,12,0.904,2,0,0,0.523,2,97,0.58,0
154,587,1.0,41812.24,7,0.862,3,0,0,0.0,0,38,0.244,0
155,869,1.0,7492.25,10,0.769,2,1,0,0.12,1,81,0.0,0
156,1324,1.0,32630.97,8,1.0,3,2,1,0.0,1,71,0.518,0
157,253,1.0,5986.43,11,0.606,3,0,0,0.483,1,13,0.48,0
158,1114,1.0,27971.97,8,0.673,2,1,2,0.254,1,331,0.279,0
159,1010,0.75,40276.95,7,0.765,2,0,0,0.0,1,287,0.987,0
160,1568,0.75,66902.18,9,0.879,3,0,1,0.222,2,303,0.196,0
161,1992,1.0,49890.13,6,1.0,3,1,1,0.244,1,90,0.749,0
162,1328,1.0,76013.47,5,0.75,1,1,1,0.616,0,247,0.569,1
163,818,1.0,20335.13,8,0.866,3,0,1,0.315,1,398,0.492,0
164,813,0.75,95069.33,7,0.827,3,2,1,0.233,1,117,0.983,1
165,836,1.0,103632.97,6,0.733,2,0,0,0.257,0,172,0.691,0
166,1628,1.0,5644.52,14,0.998,3,0,1,0.0,2,89,0.236,0
167,643,1.0,9232.11,10,0.836,1,2,0,0.037,1,382,0.26,0
168,334,0.5,39575.8,7,0.948,3,1,0,0.0,2,377,0.211,0
169,669,1.0,26329.19,15,0.691,3,0,1,0.746,0,233,0.48,0
170,46,1.0,29705.81,9,0.642,1,1,0,0.121,1,99,0.226,0
171,213,1.0,49567.44,5,0.681,2,0,0,0.403,3,84,0.0,0
172,181,1.0,78057.83,8,0.81,3,0,0,0.0,1,110,0.283,0
173,1543,1.0,19428.23,16,0.974,3,2,0,0.143,1,269,0.634,0
174,1444,1.0,86874.93,9,1.0,1,0,0,0.157,0,132,0.744,0
175,1393,1.0,23030.65,8,0.785,1,1,2,0.371,2,240,0.614,0
176,924,1.0,156141.12,15,1.0,1,0,0,0.201,1,273,0.374,0
177,1434,1.0,95522.35,13,0.875,2,1,0,0.075,1,203,0.669,0
178,323,1.0,25017.06,12,0.616,1,1,0,0.0,1,222,0.893,0
179,1801,1.0,12467.28,4,0.774,2,1,0,0.795,1,147,0.537,1
180,1002,0.75,24547.97,10,0.904,1,0,1,0.106,2,295,0.415,0
181,1876,1.0,21847.65,11,0.919,2,0,0,0.139,1,222,0.841,0
182,305,1.0,61313.13,8,0.654,1,1,0,0.091,0,245,0.247,0
183,995,0.75,5812.18,9,0.679,1,0,0,0.587,2,379,0.598,0
184,1392,1.0,9350.63,12,0.683,3,2,0,0.07,2,299,0.0,0
185,991,0.75,60113.68,10,0.71,1,1,0,0.115,0,222,0.312,0
186,892,1.0,21069.87,13,0.811,2,0,0,0.288,0,348,0.0,1
187,333,0.75,28261.0,3,1.0,2,0,0,0.541,0,25,0.597,0
188,762,1.0,70492.43,9,0.666,2,0,0,0.233,3,218,0.208,0
189,478,0.75,80408.28,12,0.422,1,2,1,0.249,0,395,0.572,1
190,603,1.0,92497.72,9,0.409,3,0,0,0.208,2,100,0.262,0
191,1367,1.0,66517.36,6,0.913,2,0,0,0.119,0,250,0.283,0
192,1260,1.0,34847.68,6,0.641,3,0,0,0.699,1,161,0.239,0
193,1214,1.0,32662.32,3,0.804,2,0,1,0.034,0,46,0.547,0
194,724,1.0,29784.1,13,0.608,3,2,2,0.337,1,63,0.492,1
195,1919,1.0,14282.64,7,0.72,3,3,0,0.096,0,7,0.185,0
196,176,0.75,18753.92,7,0.685,3,0,0,0.387,1,369,0.386,0
197,685,1.0,84607.44,8,0.613,1,0,1,0.223,0,98,0.236,1
198,236,0.5,22894.43,12,0.997,3,1,1,0.299,2,175,0.289,0
199,678,1.0,14367.18,9,1.0,3,0,1,0.26,1,217,0.287,0
200,1923,1.0,89329.37,6,0.878,1,1,1,0.0,0,334,0.267,0
201,733,1.0,47419.89,11,1.0,1,0,0,0.222,1,289,0.58,0
202,1817,1.0,118760.62,9,0.487,2,0,0,0.0,0,376,0.577,0
203,990,1.0,110607.17,5,0.708,2,0,0,0.292,0,354,0.014,0
204,1399,1.0,15554.61,10,0.68,2,0,1,0.11,0,143,0.349,0
205,915,1.0,37649.57,10,0.892,3,0,0,0.181,2,84,1.0,0
206,532,1.0,17548.69,9,0.498,1,0,0,0.244,1,51,0.732,1
207,1528,1.0,17413.17,7,0.883,2,0,1,0.274,1,54,0.954,0
208,1938,0.75,29107.2,12,0.461,1,1,0,0.0,2,312,0.16,0
209,527,0.75,62557.9,6,0.9,3,0,0,0.143,0,15,0.316,0
210,1557,1.0,62814.69,8,0.981,2,1,0,0.302,0,237,0.197,0
211,523,1.0,57530.32,11,0.524,1,0,1,0.631,1,264,0.416,0
212,1434,0.75,34765.68,6,0.677,3,0,2,0.884,2,298,0.476,0
213,1578,0.75,65151.1,12,0.988,3,1,1,0.735,3,13,0.538,0
214,899,0.75,14169.15,8,1.0,2,0,1,0.054,3,152,0.297,0
215,1474,1.0,47970.36,8,0.464,2,0,0,0.376,0,351,0.245,0
216,545,0.75,41241.33,13,0.825,3,0,0,0.521,3,2,0.187,0
217,159,1.0,33183.0,5,0.881,1,1,0,0.409,1,342,0.37,0
218,193,1.0,49312.47,5,0.748,1,1,0,0.235,0,318,0.562,0
219,894,0.5,17854.98,10,1.0,3,0,0,0.319,0,244,0.596,1
220,1805,1.0,59122.22,8,0.641,1,1,0,0.349,0,375,0.728,0
221,256,1.0,40450.31,9,0.667,2,0,1,0.101,1,22,0.5,0
222,912,1.0,10272.32,9,0.618,3,0,0,0.322,0,349,0.607,1
223,1408,1.0,39762.96,9,0.799,1,0,1,0.0,1,30,0.053,0
224,405,1.0,26544.35,15,0.696,1,0,0,0.854,1,304,0.665,0
